CN101010100	北京
CN101011600	东城
CN101011700	西城
CN101020100	上海
CN101020400	黄浦
CN101021300	长宁
CN101021400	静安
CN101021500	普陀
CN101021600	虹口
CN101021700	杨浦
CN101030500	天津
CN101030600	天津
CN101030700	天津
CN101030800	和平
CN101030900	天津
CN101031000	天津
CN101031100	天津
CN101031200	河东
CN101031300	河西
CN101031400	天津
CN101031500	南开
CN101031600	河北
CN101031700	红桥
CN101040100	重庆
CN101040200	重庆
CN101040300	重庆
CN101040400	重庆
CN101040500	重庆
CN101040700	重庆
CN101040800	重庆
CN101040900	重庆
CN101041000	重庆
CN101041100	重庆
CN101041200	渝中
CN101041300	重庆
CN101041400	重庆
CN101041500	重庆
CN101041600	重庆
CN101041700	重庆
CN101041800	重庆
CN101041900	重庆
CN101042000	重庆
CN101042100	重庆
CN101042200	重庆
CN101042300	重庆
CN101042400	重庆
CN101042500	重庆
CN101042600	重庆
CN101042700	重庆
CN101042800	重庆
CN101042900	重庆
CN101043000	重庆
CN101043100	重庆
CN101043200	重庆
CN101043300	重庆
CN101043400	重庆
CN101043500	大渡口
CN101043600	重庆
CN101043700	江北
CN101043800	沙坪坝
CN101043900	九龙坡
CN101044000	南岸
CN101044100	开州
CN101050101	哈尔滨
CN101050102	哈尔滨
CN101050103	哈尔滨
CN101050104	哈尔滨
CN101050105	哈尔滨
CN101050106	哈尔滨
CN101050107	哈尔滨
CN101050108	哈尔滨
CN101050109	哈尔滨
CN101050110	哈尔滨
CN101050111	哈尔滨
CN101050112	哈尔滨
CN101050113	哈尔滨
CN101050114	哈尔滨
CN101050115	哈尔滨
CN101050116	哈尔滨
CN101050117	哈尔滨
CN101050118	哈尔滨
CN101050119	哈尔滨
CN101050201	齐齐哈尔
CN101050202	齐齐哈尔
CN101050203	齐齐哈尔
CN101050204	齐齐哈尔
CN101050205	齐齐哈尔
CN101050206	齐齐哈尔
CN101050207	齐齐哈尔
CN101050208	齐齐哈尔
CN101050209	齐齐哈尔
CN101050210	齐齐哈尔
CN101050211	齐齐哈尔
CN101050212	齐齐哈尔
CN101050213	齐齐哈尔
CN101050214	齐齐哈尔
CN101050215	齐齐哈尔
CN101050216	齐齐哈尔
CN101050217	齐齐哈尔
CN101050301	牡丹江
CN101050302	牡丹江
CN101050303	牡丹江
CN101050304	牡丹江
CN101050305	牡丹江
CN101050306	牡丹江
CN101050307	牡丹江
CN101050308	牡丹江
CN101050309	牡丹江
CN101050310	牡丹江
CN101050311	牡丹江
CN101050401	佳木斯
CN101050402	佳木斯
